disease,desc
panic disorder,"Panic disorder is an anxiety disorder characterized by recurring severe panic attacks. It may also include significant behavioral changes lasting at least a month and of ongoing worry about the implications or concern about having other attacks. The latter are called anticipatory attacks (DSM-IVR). Panic disorder is not the same as agoraphobia (fear of public places) although many afflicted with panic disorder also suffer from agoraphobia. Panic attacks cannot be predicted therefore an individual may become stressed anxious or worried wondering when the next panic attack will occur. Panic disorder may be differentiated as a medical condition or chemical imbalance. The DSM-IV-TR describes panic disorder and anxiety differently. Whereas anxiety is preceded by chronic stressors which build to reactions of moderate intensity that can last for days weeks or months panic attacks are acute events triggered by a sudden out-of-the-blue cause: duration is short and symptoms are more intense. Panic attacks can occur in children as well as adults. Panic in young people may be particularly distressing because children tend to have less insight about what is happening and parents are also likely to experience distress when attacks occur. , Source: Wikipedia"
vocal cord polyp, Vocal cord polyp is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
turner syndrome," Also known as Gonadal Dysgenesis XO Syndrome and Bonnevie-ullrich Syndrome  ,Turner syndrome or Ullrich–Turner syndrome (also known as Gonadal dysgenesis:550) 5X encompasses several conditions in human females of which monosomy X (absence of an entire sex chromosome the Barr body) is most common. It is a chromosomal abnormality in which all or part of one of the sex chromosomes is absent or has other abnormalities (unaffected humans have 46 chromosomes of which two are sex chromosomes). In some cases the chromosome is missing in some cells but not others a condition referred to as mosaicism or Turner mosaicism. , Source: Wikipedia"
cryptorchidism,"Also known as Undescended Testes Cryptorchismand Maldescent Of Testis  ,Cryptorchidism (derived from the Greek κρυπτός kryptos meaning hidden and ὄρχις orchis meaning testicle) is the absence of one or both testes from the scrotum. It is the most common birth defect regarding male genitalia. In unique cases cryptorchidism can develop later in life often as late as young adulthood. About 3% of full-term and 30% of premature infant boys are born with at least one undescended testis. However about 80% of cryptorchid testes descend by the first ye    ar of life (the majority within three months) making the true incidence of cryptorchidism around 1% overall. Cryptorchidism is distinct from monorchism the condition of having only one testicle. , Source: Wikipedia"
poisoning due to ethylene glycol,Also known as Anti Freeze Poisoning and Ethylene Glycol Toxicity   Poisoning due to ethylene glycol is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
atrophic vaginitis,"Atrophic vaginitis (also known as vaginal atrophy or urogenital atrophy) is an inflammation of the vagina (and the outer urinary tract) due to the thinning and shrinking of the tissues as well as decreased lubrication. This is all due to a lack of the reproductive hormone estrogen. , Source: Wikipedia"
fracture of the hand,Also known as Broken Hand and Hand Fracture   Fracture of the hand is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
cellulitis or abscess of mouth, Cellulitis or abscess of mouth is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
eye alignment disorder,"When you look at an object you’re using several muscles to move both eyes to focus on it. If you have a problem with the muscles the eyes don’t work properly. There are many kinds of eye movement disorders. Two common ones are: Strabismus – a disorder in which the two eyes don’t line up in the same direction. This results in “crossed eyes” or “walleye.” Nystagmus – fast uncontrollable movements of the eyes sometimes called “dancing eyes” Some eye movement disorders are present at birth. Others develop over time and may be associated with other problems such as injuries. Treatments include glasses eye muscle exercises and surgery. There is no treatment for some kinds of eye movement disorderssuch as most kinds of nystagmus. , Source: MedlinePlus"
headache after lumbar puncture,Also known as Spinal Headache Lumbar Puncture Headache Post Lumbar Puncture Headacheand Dural Headache Post Puncture   Headache after lumbar puncture is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
pyloric stenosis,"Also known as Gastric Outlet Obstruction Pyloric Obstructionand Gastric Outflow Obstruction  ,Pyloric stenosis (or infantile hypertrophic pyloric stenosis or pylorostenosis) is a condition that causes severe projectile non-bilious vomiting in the first few months of life. There is narrowing (stenosis) of the opening from the stomach to the first part of the small intestine known as the duodenum due to enlargement (hypertrophy) of the muscle surrounding this opening (the pylorus meaning gate) which spasms when the stomach empties. This hypertrophy is felt classically as an olive-shaped mass in the middle upper part or right upper quadrant of the infant's abdomen. In pyloric stenosis it is uncertain whether there is a real congenital narrowing or whether there is a functional hypertrophy of the pyloric sphincter muscle. This condition typically develops in male babies in the first 2–6 weeks of life. , Source: Wikipedia"
salivary gland disorder,"Also known as Salivary Gland Disease  ,The salivary glands in mammals are exocrine glands glands with ducts that produce saliva. They also secrete amylase an enzyme that breaks down starch into maltose. In other organisms such as insects salivary glands are often used to produce biologically important proteins like silk or gluesand fly salivary glands contain polytene chromosomes that have been useful in genetic research. , Source: Wikipedia"
osteochondrosis,"Osteochondrosis is a family of orthopedic diseases of the joint that occur in children and adolescents and in rapidly growing animals particularly pigs horses and dogs. They are characterized by interruption of the blood supply of a bone in particular to the epiphysis followed by localized bony necrosis and later regrowth of the bone. This disorder is defined as a focal disturbance of endochondral ossification and is regarded as having a multifactorial etiologyso no one thing accounts for all aspects of this disease. , Source: Wikipedia"
injury to the knee,"Also known as Knee Injury  ,Injuries to the knee or the knee joint. ,Source: MeSH"
metabolic disorder,"Inborn errors of metabolism comprise a large class of genetic diseases involving disorders of metabolism. The majority are due to defects of single genes that code for enzymes that facilitate conversion of various substances (substrates) into others (products). In most of the disorders problems arise due to accumulation of substances which are toxic or interfere with normal function or to the effects of reduced ability to synthesize essential compounds. Inborn errors of met-abolism are now often referred to as congenital metabolic diseases or inherited metabolic diseases. , Source: Wikipedia"
vaginitis,"Also known as Vagina Inflammation  ,Vaginitis is an inflammation of the vagina. It can result in discharge itching and pain and is often associated with an irritation or infection of the vulva. It is usually due to infection. The three main kinds of vaginitis are bacterial vaginosis (BV) vaginal candidiasis and trichomoniasis. A woman may have any combination of vaginal infections at one time. The symptoms that arise vary with the infection although there are general symptoms that all vaginitis infections have and infected women may also be asymptomatic. Testing for vaginal infections is not a part of routine pelvic exams; therefore women should neither assume their health care providers will know of the infectionnor that they will provide appropriate treatment without their input. , Source: Wikipedia"
sick sinus syndrome,"Sick sinus syndrome (SSS) also called sinus node dysfunction (SND) is an umbrella term for a group of abnormal heart rhythms (arrhythmias) presumably caused by a malfunction of the sinus node the heart's primary pacemaker. Bradycardia-tachycardia syndrome is a variant of sick sinus syndrome in which slow arrhythmias and fast arrhythmias alternate. In recent yearsthe syndrome has become increasingly prevalent in dogs. The reason is unknown. , Source: Wikipedia"
